BASELINE	BLEU	ROUGE	METEOR	BERTSCORE
baseline1.log	38.9654	0.5440613005896001	0.3323883983899289	0.863951
baseline2.log	40.3501	0.5538342785550618	0.339238485443568	0.868152
baseline3.log	42.3134	0.5628147561084141	0.3496910037935479	0.872002
baseline3_large.log	42.6868	0.5717572237690052	0.35086038110856865	0.874302
baseline4.log	43.0879	0.5712189247315322	0.3528621620550112	0.87431
baseline4_b1.log	43.0557	0.5710546075375914	0.3532618789564733	0.87456
baseline4_large.log	43.5482	0.5761865876678541	0.35519089169722073	0.875903
baseline5.log	43.263	0.5697522983810821	0.3533681028409577	0.874108
baseline5_b1.log	43.1589	0.5695808784374206	0.3534462668822005	0.874093
baseline5_large.log	43.3582	0.5754168013803633	0.3546860972282897	0.875975
